A,Mot
Mirth,Mirth
Misadventure,Hanh vi sai trai
Misalliance,Sai lech
Misanthrope,Misanthrope
Misanthropy,Misanthropy
Misapply,Ap dung sai
Misapprehend,Hieu sai
Misappropriate,Thich hop
Misbegotten,Misbegotten
Misbehave,Hanh vi sai trai
Misc.,Khac 
Miscalculate,Tinh toan sai
Miscarriage,Say thai
Miscarry,Miscarry
Miscast,Miscast
Miscegenation,Sai pham
Miscellaneous,Dieu khoan khac
Miscellany,Miscellany
Mischance,Nham lan
Mischief,Tinh nghich
Mischievous,Tinh nghich
Miscible,Co the tron
Misconceive,Nhan thuc sai
Misconduct,Hanh vi sai trai
Misconstrue,Kien truc sai
Miscopy,Soi sai
Miscount,Dem sai
Miscreant,Hu
Misdeed,Sai lam
Misdemeanor,Toi nhe
Misdemeanour,Toi nhe
Misdiagnose,Chan doan sai
Misdial,Misdial
Misdirect,Sai
Misdoing,Lam sai
Miser,Miser
Miserable,Kho so
Misericord,Misericord
Misery,Khon kho
Misfield,Misfield
Misfire,Misfire
Misfit,Misfit
Misfortune,Bat hanh
Misgive,Nghi
Misgiving,Nghi ngo
Misgovern,Misgovern
Misguided,Sai lam
Mishandle,Xu ly sai
Mishap,Mishap
Mishear,Nghe nham
Mishit,Thit
Mishmash,Mishmash
Misinform,Thong tin sai lech
Misinterpret,Hieu sai
Misjudge,Danh gia sai
Miskey,Miskey
Mislay,Choi sai
Mislead,Nghich ngom
Mismanage,Quan ly khon kho
Mismatch,Khong khop
Misnomer,Viet nham
Misogyny,Misogyny
Misplace,Dat nham cho
Misprint,In sai
Misprision,Bat ngo
Mispronounce,Phat am sai
Misquote,Trich dan sai
Misread,Doc sai
Misrepresent,Xuyen tac
Misrule,Noi bay
Missal,Sach le
Missel,Sach le
Misshapen,Hinh chu nhat
Missile,Hoa tien
Missing,Con thieu
Mission,Su menh
Missionary,Nha truyen giao
Missis,goi
Missive,Missive
Misspell,Danh van sai
Misspend,Bo lo
Misstate,Viet sai
Missus,Goi
Mist,Suong mu
Mistake,Sai lam dieu sai ngo nhan
Mistaken,Nham lan
Mister,qui ong
Mistime,Thoi gian sai
Mistle,Cay tam gui
Mistletoe,Cay tam gui
Mistook,Nham lan
Mistral,Mistral
Mistreat,Nguoc dai
Mistress,Tinh nhan
Mistrial,Tinh nhan
Mistrust,Khong tin tuong
Misty,Co suong mu
Misunderstand,Hieu sai
Misunderstanding,Su hieu lam
Misusage,Co ha thap
Misuse,Lam dung
Mit,Voi
Miter,Mitre
Mitigate,Giam nhe
Mitigating,Giam nhe
Mitosis,Nguyen phan
Mitre,Mitre
Mitt,Cua toi
Mix-up,Ket hop
Mix,Pha tron
Mixed-up,Tron lan
Mixed,Tron
Mixer,May tron
Mixture,Hon hop
Mizen-mast,Mizen mast
Mizen,Truoc khi no xay ra
Ml,Ml
Mlle,Benh da xo cung
Mm,Mm
Mme,Me
Mn,Mn
Mnemonic,De nho
Mo,Mo
Moa,Moa
Moan,Keu van
Moat,Moat
Mob-cap,Mob cap
Mob,Dam dong
Mobile,Di dong
Mobilize,Huy dong
Mobster,Mobster
Moccasin,Moccasin
Mocha,Mocha
Mock-up,Gia lap
Mock,Che nhao
Mocker,Che nhao
Mockery,Che gieu
Mockingbird,Con chim nhai
Mod,Chong lai
Modal,Phuong thuc
Mode,Cach thuc
Model,Nguoi mau
Modem,Modem
Moderate,Vua phai
Moderation,Dieu do
Moderato,Vua phai
Moderator,Nguoi dieu hanh
Modern,Hien dai
Modernism,Chu nghia hien dai
Modernize,Hien dai hoa
Modest,Khiem ton
Modicum,Modicum
Modification,Sua doi
Modify,Bien doi
Modish,On hoa
Modiste,Milliner
Modulate,Ngam nga
Module,Mo dun
Modulus,Mo dun
Modus,Mo dun
Mog,toi co the
Mogadon,Mogadon
Mogul,Mogul
Mohair,Mohair
Mohammedan,Nguoi Mo ha met giao
Mohican,Mohican
Moiety,Moety
Moire,Dong luc
MoirÃ©,MoirA �
Moist,Am
Moisten,Lam am
Moisture,Do am
Moisturize,Duong am
Molar,Molar
Molasses,Mat duong
Molder,Molder
Molding,Duc khuon
Moldy,Bi moc
Molecular,Phan tu
Molecule,Phan tu
Molehill,Molehill
Molest,Molest
Moll,Moll
Mollify,Mollify
Mollusc,Nhuyen the
Mollusk,Nhuyen the
Mollycoddle,Mollycoddle
Molotov,Molotov
Molt,Nhieu
Molten,Nong chay
Molto,Nhieu
Molybdenum,Molypden
Mom,Me
Moment,Khoa?ng khac
Momentary,Nhat thoi
Momentous,Momentous
Momentum,Quan tinh
Momma,Me oi
Mommy,Me oi
Mon.,Cua toi 
Monad,Don nguyen
Monarch,Quoc vuong
Monarchism,Chu nghia quan chu
Monarchy,Che do quan chu
Monastery,Tu vien
Monastic,Tu vien
Monday,Thu hai
Monetarism,Chu nghia kiem tien
Monetary,Tien te
Money's,Tien cua
Money-grubber,Nguoi dao tien
Money-spinner,Nguoi quay tien
Money,Tien bac
Moneybags,Nhung tui tien
Moneyed,Tien
Moneylender,Moneylender
Moneymaker,Nha san xuat tien
Monger,Monger
Mongol,Nguoi Mong Co
Mongolian,Tieng Mong Co
Mongolism,Chu nghia Mong Co
Mongoloid,Mongoloid
Mongoose,Mongoose
Mongrel,Mongrel
Monies,Tien
Monism,Chu nghia duy dong
Monitor,Man hinh
Monitory,Man hinh
Monk,Nha su
Monkey-nut,Khi con
Monkey-puzzle,Cau do con khi
Monkey,Con khi
Monkshood,Tu si
Mono-,Benh tang bach cau don nhan 
Mono,Benh tang bach cau don nhan
Monochromatic,Don sac
Monochrome,Don sac
Monocle,Monocle
Monocotyledon,Cay mot la mam
Monocular,Mot mat
Monody,Monody
Monogamy,Mot vo mot chong
Monogram,Chu long
Monograph,Chuyen khao
Monolingual,Don ngu
Monolith,Da nguyen khoi
Monologue,Doc thoai
Monomania,Monomania
Monophonic,Don am
Monoplane,Monoplane
Monopolist,Nha doc quyen
Monopolize,Doc quyen
Monopoly,Su doc quyen
Monorail,Monorail
Monosodium,Monosodium
Monosyllable,Don am
Monotheism,Doc than giao
Monotone,Giong bang bang
Monotonous,Don dieu
Monovalent,Don hoa tri
Monoxide,Monoxide
Monseigneur,Thua ngai
Monsieur,quy ngai
Monsignor,Duc ong
Monsoon,Gio mua
Monster,Quai vat
Monstrance,Monstrance
Monstrosity,Su hao phong
Monstrous,Quai di
Montage,Dung phim
Month,Thang
Monthly,Hang thang
Monument,Dai ky niem
Monumental,Vi dai
Moo,Moo
Mooch,Di lang thang
Moody,buon rau
Moon-face,Mat trang
Moon,Mat trang
Moonbeam,Anh trang
Moonie,Moonie
Moonlight,Anh trang
Moonlit,Anh trang
Moonscape,Moonscape
Moonshine,Moonshine
Moonshot,Moonshot
Moonstone,Moonstone
Moonstruck,Moonstruck
Moony,Moony
Moor,Moor
Moorhen,Moorhen
Mooring,Neo dau
Moorland,Moorland
Moose,Con nai sung tam
Moot,Tranh luan
Mop,Choi lau nha
Mope,Mope
Moped,Lau
Moquette,Tham
Moraine,Moraine
Moral,Co dao duc
Morale,Dao duc
Moralist,Nha dao duc
Morality,Dao duc
Moralize,Dao duc
Morass,Mo hon don
Moratorium,Moratorium
Morbid,Benh hoan
Mordant,Mordant
More,Hon
Moreish,Moreish
Morello,Morello
Moreover,Hon the nua
Mores,Them
Morganatic,Morganatic
Morgue,Nha xac
Moribund,Moribund
Morish,Morish
Mormon,Mac Mon
Morn,Morn
Mornay,Mornay
Morning-after,Sang sau
Morning,Buoi sang
Morocco,Maroc
Moron,Moron
Morose,Hoa anh dao
Morpheme,Morpheme
Morphia,Morphia
Morphine,Morphine
Morphology,Hinh thai hoc
Morris,Morris
Morrow,Ngay mai
Morse,Morse
Morsel,Morsel
Mortal,Nguoi chet
Mortality,Ty le tu vong
Mortar,Coi
Mortarboard,Van vua
Mortgage,The chap
Mortgagee,Nguoi the chap
Mortgager,Nguoi the chap
Mortice,Mortice
Mortician,Mortician
Mortify,Mortify
Mortise,Lo mong
Mortuary,Nha xac
Mosaic,Kham
Moselle,Moselle
Mosey,Mosey
Moslem,Hoi giao
Mosque,Nha tho Hoi giao
Mosquito-net,man chong muoi
Mosquito,Con muoi
Moss,Reu
Most,Phan lon
Mostly,Hau het
Mot,Chong lai
Mote,Vi tran
Motel,Nha tro
Motet,Motet
Moth-eaten,An sau buom
Moth,Buom dem
Mothball,Bang phien
Mother's,Cua me
Mother-in-law,Me chong
Mother-of-pearl,Xa cu
Mother,Me
Mothering,Lam me
Motherland,Que huong
Motherly,Tinh me
Mothproof,Chong sau mot
Motif,Motif
Motion,Cu dong
Motivate,Dong vien
Motive,Dong co
Motley,Motley
Moto-cross,Moto cross
Motor,Dong co
Motorcade,Doan mo to
Motorist,Nguoi lai xe
Motorize,co dong co
Motorman,Motorman
Motorway,Duong cao toc
Motown,Motown
Mottle,Xe may
Motto,Cham ngon
Moulder,Tang da
Moulding,Duc khuon
Mouldy,Bi moc
Moult,Thay long
Mound,Go dat
Mountain,Nui
Mountaineer,Nguoi leo nui
Mountainous,Mien nui
Mountainside,Suon nui
Mountebank,Lang bam
Mountie,Mountie
Mounting,Gan
Mourn,Thuong tiec
Mourner,Nguoi dua tien
Mournful,Bi ai
Mourning,Tang che
Mouse,Con chuot
Mousetrap,Bay chuot
Moussaka,Moussaka
Mousse,Mousse
Moustache,Ria
Mousy,Ba me
Mouth-organ,Co quan mieng
Mouth-to-mouth,Mieng doi mieng
Mouth-watering,Vua mieng
Mouth,Mieng
Mouthful,Mieng
Mouthpiece,Ong ngam
Mouthwash,Nuoc suc mieng
Movable,Co the di chuyen
Move,Di chuyen
Moveable,Co the di chuyen
Movement,Su chuyen dong
Mover,Nguoi di chuyen
Movie,Bo phim
Moving,Di chuyen
Mow,Keu meo meo
Mozzarella,pho mai Mozzarella
Mp,Mp
Mr,Ong
Mrs,Ba
Ms-dos,Ms dos
Ms,Benh da xo cung
Mt.,Mt 
Mu,Mu
Much,Nhieu
Mucilage,Chat nhay
Muck-spreader,May rai rac
Muck,Va?y ba?n
Mucker,Mucker
Muckle,Muckle
Muckrake,Muckrake
Mucky,Mucky
Mucous,Chat nhay
Mucus,Chat nhay
Mud-flat,Bun phang
Mud-slinger,Bun bun
Mud,Bun
Muddle-headed,Dau oc lon xon
Muddle,Muddle
Muddy,Ban hien
Mudflap,Vat bun
Mudguard,Chan bun
Muesli,Muesli
Muezzin,Muezzin
Muffin,Muffin
Muffle,Muffle
Muffler,Bo giam thanh
Mufti,Mufti
Mug,Cai ca
Muggins,Muggins
Muggy,Nong am
Muhammadan,Muhammadan
Mujahidin,Mujahideen
Mulatto,Mulatto
Mulberry,Dau tam
Mulch,Mulch
Muleteer,Muleteer
Mulish,nhu con la
Mullah,Mullah
Mullet,Ca doi
Mulligatawny,Mulligatawny
Mullion,Mullion
Multi-,Da
Multi-access,Da truy cap
Multi-purpose,Da muc dich
Multi-storey,Nhieu tang
Multi-user,Nhieu nguoi dung
Multicoloured,Nhieu mau
Multicultural,Da van hoa
Multidirectional,Da huong
Multifarious,Da bien
Multiform,Da dang
Multilateral,Da phuong
Multilingual,Da ngon ngu
Multimedia,Da phuong tien
Multimillion,Nhieu trieu
Multimillionaire,Nhieu trieu phu
Multinational,Da quoc gia
Multiple-choice,Nhieu lua chon
Multiple,Nhieu
Multiplex,Ghep kenh
Multiplicand,Multiplicand
Multiplication,Phep nhan
Multiplicity,Tinh da dang
Multiplier,He so nhan
Multiply,nhan
Multiracial,Da chung toc
Multitude,Vo so
Multitudinous,Da dang
Mumble,Lam bam
Mumbo-jumbo,Mumbo jumbo
Mummer,Me
Mummery,Mummery
Mummify,Uop xac
Mumps,Quai bi
Munch,Nhai top tep
Mundane,Mundane
Mung,Chi co
Municipal,Thanh pho
Municipality,Thanh pho
Munificent,nhe nhang
Muniment,Phao dai
Munition,Dan duoc
Muon,Muon
Mural,Buc tranh tuong
Murder,Giet nguoi
Murderous,Giet nguoi
Murk,Murk
Murky,Am u
Murmur,Thi tham
Murphy's,Murphys
Murrain,Murrain
Mus.b.,Mus b 
Mus.d.,Mus d 
Muscadet,Muscadet
Muscat,Muscat
Muscatel,Muscatel
Muscle-bound,Co bap
Muscle-man,Nguoi dan ong co bap
Muscle,Bap thit
Muscovite,Muscovite
Muscovy,Muscovy
Muscular,Co bap
Musculature,Co bap
Museum,Bao tang
Mush,Nam
Mushroom,Nam
Mushy,Mushy
Music-hall,Hoi truong am nhac
Music,Am nhac
Musical,Am nhac
Musician,Nhac si
Musicology,Am nhac hoc
Musk-rose,Hoa hong xa huong
Musk,Xa huong
Musket,Musket
Musketeer,Linh ngu lam
Musketry,Musketry
Muskrat,Muskrat
Muslim,Hoi
Muslin,Muslin
Musquash,Musquash
Mussel,Trai
Mustache,Ria
Mustang,Mustang
Mustard,Mu tac
Muster,Tap hop
Mustn't,Khong duoc
Musty,Meo
Mutable,Co the thay doi
Mutagen,Mutagen
Mutant,Nguoi dot bien
Mutate,Dot bien
Mutation,Dot bien
Mutatis,Mutatis
Mute,Tat tieng
Mutilate,Cat xen
Mutineer,Mutineer
Mutinous,Nep
Mutiny,Noi loan
Mutt,Mutt
Mutter,me
Mutton-head,Dau cuu
Mutton,thit cuu
Mutual,Qua lai
Muzak,Muzak
Muzzle,Mom
Muzzy,Muzzy
Mw,Mw
My,Cua toi
Myalgia,Dau co
Mycelium,Soi nam
Mycenaean,Mycenaean
Mycology,Than hoc
Myna,Myna
Myopia,Can thi
Myriad,Vo so
Myrrh,Myrrh
Myrtle,Cay sim
Myself,Rieng toi
Mysterious,Huyen bi
Mystery,Huyen bi
Mystic,Huyen bi
Mystical,Huyen bi
Mystify,Mystify
Mystique,Mystique
Myth,Hoang duong
Mythology,Than thoai
Myxomatosis,Myxomatosis
MÃ©lange,MA�lange
MÃ©nage,MA � nage
MÃ©salliance,MA � salliance
MÃ©tier,MA�tier
MÃªlÃ©e,MA�lA � e
MÃ¶bius,MA�bius
N't,Khong
N,N
Na,Na
Naafi,Cho toi
Nab,Nab
Nacho,Nacho
Nacre,ngoc trai
Nadir,Quy hiem
Naevus,Buon non
Naff,Naff
Naiad,Naiad
Nail-file,Giua mong tay
Nail,Mong tay
Naked,Khoa than
Namby-pamby,Namby pamby
Name-day,Ten ngay
Name-dropping,Bo ten
Name-plate,Ten noi
Name,Ten
Nameless,Khong ten
Namely,Cu the
Namesake,Ten goi
Nan,Trong
Nancy,Nancy
Nanny,Bao mau
Nano-,Nano 
Napalm,Napalm
Nape,Gay
Naphtha,Naphtha
Naphthalene,Naphthalene
Napkin,Khan an
Nappy,Ta lot
Narcissism,Tu kieu
Narcissus,Hoa thuy tien
Narcosis,Narcosis
Narcotic,Ma tuy
Nark,Nark
Narrate,Tuong thuat
Narrative,Chuyen ke
Narrow-minded,Dau oc hep hoi
Narrow,Chat hep
Narwhal,Ky lan bien
Nasa,Nasa
Nasal,Mui
Nascent,Nascent
Nasturtium,Hoa sen can
Nasty,Ban thiu
Nat.,Nat 
Natal,Natal
Nation,Dan toc
National,Quoc gia
Nationalism,Chu nghia dan toc
Nationality,Quoc tich
Nationalize,Quoc huu hoa
Nationwide,Toan quoc
Native,Tu nhien
Nativity,Chua giang sinh
Nato,Nato
Natter,Natter
Natterjack,Natterjack
Natty,Natty
Natural,Thien nhien
Naturalism,Chu nghia tu nhien
Naturalist,Nha tu nhien hoc
Naturalize,Nhap tich
Naturally,Mot cach tu nhien
Nature,Thien nhien
Natured,Nhap tich
Naturism,Chu nghia tu nhien
Naught,Hu khong
Naughty,Nghich ngom
Nausea,Buon non
Nauseate,Tam dung
Nauseous,Buon cuoi
Nautical,Hai ly
Nautilus,Nautilus
Naval,Hai quan
Navel,Lo ron
Navigable,Co the dieu huong
Navigate,Dieu huong
Navigation,dan duong
Navvy,Navvy
Navy,Hai quan
Nay,Nay
Nazarene,Nazarene
Nazi,Phat xit
NaÃ¯ve,NaA�ve
Nb,Nb
Ncb,Ncb
Nco,Nho lai
Ncp,Ncp
Nd,Nd
Ne'er-do-well,Neer do well
Ne'er,Neer
Ne,Ne
Neanderthal,Neanderthal
Neap,Neap
Neapolitan,Neapolitan
Near-sighted,Can thi
Near,O gan
Nearby,Lan can
Nearly,Gan nhu
Nearside,Nearside
Neat,Gon gang
Neaten,Gon gang
Neath,Neath
Nebula,Tinh van
Nebulous,Am u
Nec,Nec
Necessary,Can thiet
Necessitarian,Can thiet
Necessitate,Can thiet
Necessitous,Can thiet
Necessity,Su can thiet
Neck,Cai co
Neckband,Day deo co
Neckerchief,Khan tay
Necklace,Chuoi hat
Neckline,Duong vien co ao
Necktie,Ca vat
Necro-,Necro 
Necromancy,Chieu hon
Necrophilia,Necrophilia
Necropolis,Necropolis
Necrosis,Hoai tu
Nectar,Mat hoa
Nectarine,Cay xuan dao
Nedc,Nedc
Neddy,Neddy
Nee,Nee
Need,Can
Needful,Can thiet
Needle-point,Diem kim
Needlecord,Needlecord
Needless,Khong can thiet
Needlework,Gia cong kim
Needs,Nhu cau
Needy,Tung thieu
Nefarious,Bat chinh
Neg.,Khong 
Negate,Phu nhan
Negation,Phu dinh
Negative,Phu dinh
Negativism,Thuyet tieu cuc
Neglect,Sao nhang
Negligence,Thieu trach nhiem
Negligible,Khong dang ke
NegligÃ©e,NegligA � e
Negotiable,Co the thuong luong
Negotiate,Thuong luong
Negress,Vi pham
Negritude,Do den
Negro,Da den
Negroid,Nguoi da den
Neigh,Hang xom
Neighbor,Lang gieng
Neighborhood,Khu vuc lan can
Neighborly,Hang xom
Neighbour,Lang gieng
Neighbourhood,Khu vuc lan can
Neighbourly,Hang xom
Neither,Cung khong
Nelson,Nelson
Nem.,Khong 
Nematode,Tuyen trung
Nemesis,Nemesis
Neo-,Neo 
Neoclassicism,Tan co dien
Neodymium,Neodymium
Neolithic,Do da moi
Neologism,Thuyet than hoc
Neon,Neon
Neophyte,Neophyte
Nephew,Chau trai
Nephritic,Than hu
Nephritis,Viem than
Nepotism,Chu nghia than trong
Neptunium,sao Hai vuong
Nerd,Mot sach
Nereid,Nereid
Nerve-cell,Te bao than kinh
Nerve-centre,Trung tam than kinh
Nerve-racking,Danh gia than kinh
Nerve,Than kinh
Nerveless,Khong day
Nervous,Than kinh
Nervy,Day than kinh
Nescient,Ho se khong biet
Nest,To
Nestle,Nestle
Nestling,Nep minh
Net,Mang luoi
Netball,Bong luoi
Nether,Nether
Nett,Nett
Netting,Netting
Nettle-rash,Chung me day
Nettle,Cay tam ma
Network,Mang
Neural,Than kinh
Neuralgia,Dau day than kinh
Neuritis,Viem day than kinh
Neuro-,Than kinh 
Neurology,Than kinh hoc
Neuron,Noron
Neurosis,Loan than kinh
Neurosurgery,Phau thuat than kinh
Neurotic,Than kinh
Neuter,Neuter
Neutral,Trung tinh
Neutralize,Trung hoa
Neutrino,Neutrino
Neutron,Notron
Never-never,Khong bao gio
Never,Khong bao gio
Nevermore,Khong bao gio nua
Nevertheless,Tuy nhien
Nevus,Nevus
New,Moi
Newborn,So sinh
Newcomer,Nguoi moi
Newel,Newel
Newfangled,Newfangled
Newly-wed,Moi cuoi
Newly,Moi
News-sheet,To tin tuc
News-stand,News stand
News-vendor,Nha cung cap tin tuc
News,Tin tuc
Newsagent,Nguoi ban bao
Newscast,Newscast
Newscaster,Phat thanh vien
Newsflash,Newsflash
Newsletter,Ban tin
Newspaper,Bao chi
Newspeak,Bao chi
Newsprint,Bao in
Newsreader,Nguoi doc tin tuc
Newsreel,Newsreel
Newsworthy,Dang tin tuc
Newsy,Tin tuc
Newt,Sa giong
Newton,Newton
Next-best,Tot nhat tiep theo
Next,Tiep theo
Nexus,Nexus
Nhs,Nhs
Ni,Trong
Niacin,Niacin
Nib,Nib
Nibble,Nibble
Nibs,Ngoi
Nice,Tot dep
Nicety,Nicety
Niche,Thich hop
Nick-nack,Nick nack
Nick,Nick
Nickel,Niken
Nicker,Tot dep
Nickname,Ten nick
Nicotine,Nicotine
Nicotinic,Nicotinic
Nictitate,Nictity
Nictitating,Nictitating
Niece,Chau gai
Niff,Niff
Nifty,Nifty
Niggard,Niggard
Niggardly,Niggardly
Nigger,Nigger
Niggle,Niggle
Nigh,Nigh
Night-life,Cuoc song ve dem
Night-light,Anh sang ban dem
Night-long,Dem dai
Night-time,Ban dem
Night-watchman,Nguoi gac dem
Night,Dem
Nightbird,Con chim dem
Nightcap,Mu ngu
Nightclub,Cau lac bo dem
Nightdress,Vay ngu
Nightfall,Man dem buong xuong
Nightgown,Ao ngu
Nightie,Nightie
Nightingale,Chim hoa mi
Nightjar,Nightjar
Nightly,Hang dem
Nightmare,Ac mong
Nightshade,Cay bach anh
Nightshirt,Nguoi di duong
Nightspot,Nightspot
Nihilism,Chu nghia hu vo
Nikkei,Nikkei
Nil,Khong
Nimble,Nimble
Nimbus,Nimbus
Nimby,Nimby
Nincompoop,Nincompoop
Nine,Chin
Ninefold,Gap chin lan
Ninepin,Ninepine
Nineteen,Muoi chin
Ninety,Chin muoi
Ninny,Ninny
Ninth,Thu chin
Niobium,Niobium
Nip,Nip
Nipper,Kem
Nipple,Num vu
Nippy,Nippy
Nirvana,Niet ban
Nissen,Nissen
Nit-picking,Nhat nito
Nit,nit
Niter,Niter
Nitrate,Nitrat
Nitre,Nitre
Nitric,Nitric
Nitride,Nitride
Nitrify,Nitrify
Nitrite,Nitrit
Nitro-,Nitro 
Nitrogen,Nito
Nitroglycerin,Nitroglycerin
Nitroglycerine,Nitroglycerine
Nitrous,Nitrous
Nitty-gritty,Nitty gritty
Nitwit,Nitwit
Nne,Bon
Nnw,Khong
No-ball,Khong bong
No-win,Khong thang
No.,Khong 
No,Khong
Nobble,Nobble
Nobel,Nobel
Nobelium,giai thuong Nobel
Nobility,Quy toc
Noble,Cao quy
Nobleman,Nha quy toc
Noblesse,Quy toc
Noblewoman,Nu quy toc
Nobody,Khong ai
Nocturnal,Ve dem
Nocturne,da khuc
Nod,Nod
Noddle,Ngu gat
Noddy,Noddy
Node,Nut
Nodule,Nodule
Noel,Noel
Noggin,Noggin
Noh,Tot
Noise,Tieng on
Noiseless,Khong on ao
Noisome,On ao
Noisy,On ao
Nom,Ho
Nomad,Du muc
Nomen,Ten
Nomenclature,Danh phap
Nominal,Tren danh nghia
Nominalism,Chu nghia danh nghia
Nominate,De cu
Nominative,De cu
Nominee,Nguoi duoc de cu
Non-,Khong
Non-aggression,Khong gay han
Non-alcoholic,Khong con
Non-aligned,Khong viec sap xep
Non-belligerent,Khong hieu chien
Non-com,Khong phai com
Non-combatant,Khong chien dau
Non-commissioned,Ha si quan
Non-conductor,Khong dan dien
Non-contributory,Khong dong gop
Non-cooperation,Khong hop tac
Non-drinker,Nguoi khong uong ruou
Non-driver,Khong phai nguoi lai xe
Non-essential,Khong thiet yeu
Non-event,Khong phai su kien
Non-existent,Khong ton tai
Non-fattening,Khong vo beo
Non-ferrous,Kim loai mau
Non-fiction,Phi hu cau
Non-flammable,Khong bat lua
Non-interference,Khong can thiep
Non-intervention,Khong can thiep
Non-member,Khong phai thanh vien
Non-nuclear,Phi hat nhan
Non-observance,Khong tuan thu
Non-operational,Khong hoat dong
Non-partisan,Khong dang phai
Non-party,Khong dang phai
Non-payment,Khong thanh toan
Non-profit-making,Phi loi nhuan
Non-proliferation,Khong tang sinh
Non-resident,Khong thuong tru
Non-resistance,Khong khang cu
Non-returnable,Khong the tra lai
Non-sectarian,Khong theo giao phai
Non-slip,Chong truot
Non-smoker,Khong hut thuoc
Non-specialist,Khong chuyen
Non-specific,Khong cu the
Non-standard,Phi tieu chuan
Non-starter,Khong bat dau
Non-stick,Khong dinh
Non-stop,Khong ngung
Non-swimmer,Nguoi khong biet boi
Non-toxic,Khong doc hai
Non-transferable,Khong the chuyen nhuong
Non-u,Khong phai u
Non-union,Khong lien hiep
Non-verbal,Khong loi
Non-violence,Bat bao dong
Non-voting,Khong bo phieu
Non-white,Khong trang
Non,Khong
Nonagenarian,Nonagenarian
Nonagon,Nonagon
Nonce-word,Khong co tu
Nonce,Nonce
Nonchalant,Lanh dam
Noncommittal,Phi kim
Nonconformist,Nguoi khong tuan thu
Nonconformity,Su khong phu hop
Nondescript,Nondescript
None,Khong co
Nonentity,Khong co
Nones,khong ai
Nonetheless,Tuy nhien
Nonpareil,vo song
Nonplus,Nonplus
Nonsense,Vo ly
Nook,Nook
Noon,Khong bat
Noonday,Ban trua
Noose,Thong long
Nor',Cung khong
Nor'wester,Norwester
Nor,Cung khong
Nordic,Bac au
Norfolk,Norfolk
Norm,Dinh muc
Normal,Binh thuong
Normalize,Binh thuong hoa
Normally,Thong thuong
Norman,Norman
Normative,Quy pham
Norn,Norn
Norse,Norse
North-east,Dong bac
North-easterly,Bac dong
North-eastern,Dong bac
North-north-east,Dong bac
North-north-west,Bac Tay Bac
North-west,Tay Bac
North-westerly,Tay bac
North-western,Tay bac
North,Phi?a ba?c
Northbound,Huong bac
Northeaster,Northeaster
Northerly,Huong bac
Northern,Phuong bac
Northerner,Nguoi phuong bac
Northman,Northman
Northward,Huong bac
Northwester,Tay bac
Norwegian,Nauy
Nos.,Chung ta 
Nose-to-tail,Tu mui den duoi
Nose,Mui
Nosebag,Tui mui
Noseband,Noseband
Nosebleed,Chay mau cam
Nosedive,Nosedive
Nosegay,Bo bong
Nosh-up,Nosh up
Nosh,Qua vat
Nostalgia,Hoai co
Nostril,Lo mui
Nostrum,Cua chung toi
Nosy,Hon dao
Not,Khong
Notable,Dang chu y
Notary,Cong chung vien
Notation,Ky hieu
Notch,Notch
Note,Ghi chu
Notebook,So tay
Notecase,Notecase
Notelet,Notelet
Notepaper,Giay ghi chu
Noteworthy,Dang chu y
Nothing,Khong
Nothingness,Hu vo
Notice-board,Bang ghi chu
Notice,De y
Noticeable,Dang chu y
Notifiable,Dang tin cay
Notify,Thong bao
Notion,Khai niem
Notional,Hu cau
Notorious,Khet tieng
Notwithstanding,Bat chap
Nougat,Nougat
Nought,Hu khong
Noughts,Noughts
Noun,Danh tu
Nourish,Nuoi
Nourishment,Nuoi duong
Nous,chung toi
Nouveau,Moi
Nouvelle,Moi
Nova,Moi
Novelette,Novelette
Novelist,Tieu thuyet gia
Novella,Novella
Novelty,Moi la
November,Thang muoi mot
Novena,Novena
Novice,Nguoi moi
Noviciate,Noviciate
Now,Hien nay
Nowadays,Ngay nay
Nowhere,Hu khong
Nowt,Nowt
Noxious,Doc hai
Nozzle,Voi phun
Np,Vi du
Nr.,Nr 
Ns,Ns
Nspcc,Nspcc
Nsw,Nsw
Nt,Nt
Nth,Thu n
Nu,Khong
Nuance,Nuance
Nub,Nub
Nubile,Nubile
Nuclear,Hat nhan
Nucleate,Hat nhan
Nucleic,Hat nhan
Nucleon,Nucleon
Nucleus,Nhan te bao
Nude,Khoa than
Nudge,Di chuyen
Nudist,Nguoi theo chu nghia khoa than
Nugatory,Vo gia tri
Nugget,Nugget
Nuisance,Phien toai
Nuke,Nuke
Null,Vo gia tri
Nullify,Nullify
Numb,Te
Number-plate,Bien so
Number,Con so
Numberless,Khong so
Numerable,Nhieu
Numeral,Chu so
Numerate,Duoc danh so
Numeration,So luong
Numerator,Tu so
Numerical,So
Numerology,Numerology
Numerous,Nhieu
Numinous,Sang
Numismatic,Numismatic
Numismatics,Numismatics
Numskull,Numskull
Nun,Ni co
Nuncio,Su than
Nunnery,Ni vien
Nuptial,Nuptial
Nurd,Nurd
Nurse,Y ta
Nurseling,Uom mam
Nursemaid,Nursemaid
Nursery,Vuon uom
Nurseryman,Nha tre
Nursing,Dieu duong
Nursling,Uom mam
Nurture,Duong duc
Nut,Hat
Nutcase,Nutcase
Nutcracker,Kep hat de
Nuthatch,Nuthatch
Nutmeg,Nhuc dau khau
Nutria,Nutria
Nutrient,Chat dinh duong
Nutriment,Dinh duong
Nutrition,Dinh duong
